Altium Designer Pick and Place Locations
C:\Users\vojislav\OneDrive\IRNAS-Common\_NEW-IRNAS-COMMON\SmartParks\SmartParks-elephant-lora\smartparks-elephant-lora\04_OUTPUT_FILES\SmartParks Elephant LoRa_V1_PICK & PLACE\SmartParks Elephant LoRa_V1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       26/08/19
Time:       16:25
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"S1","SW","31.4500","32.0000","31.2800","31.9180","30.6500","29.9500","TopLayer","90","KMR221NGLFS"
"U1","E22-900M22S","17.2500","14.7550","17.2500","14.7550","8.7500","21.7500","BottomLayer","90","E22-900M22S"
"R7","RES0603","33.3000","21.9000","33.3000","21.9000","32.5500","21.9000","TopLayer","360","4k7"
"R6","RES0603","30.1500","25.6000","30.1500","25.6000","30.1500","24.8500","TopLayer","90","4k7"
"R5","RES0603","22.8000","23.4500","22.8000","23.4500","22.8000","22.7000","TopLayer","90","0R"
"R3","RES0603","25.7000","27.3657","25.7000","27.3657","25.7000","26.6157","TopLayer","90","0R"
"R2","RES0603","19.2000","23.4500","19.2000","23.4500","19.2000","22.7000","TopLayer","90","0R"
"L2","IND0402","28.3500","13.7500","28.3500","13.7500","28.3500","13.2800","TopLayer","90","4.3nH"
"L1","IND0402","25.2500","13.7500","25.2500","13.7500","25.2500","13.2800","TopLayer","90","4.3nH"
"C9","CAP0603","36.5000","24.5000","36.5000","24.5000","36.5000","25.2500","TopLayer","270","100nF"
"C2","CAP0603","26.3743","24.9500","26.3743","24.9500","27.1243","24.9500","TopLayer","180","1uF"
"C1","CAP0603","26.3500","23.4000","26.3500","23.4000","27.1000","23.4000","TopLayer","180","100nF"
"U4","VDFN_2x2","8.6000","23.5500","8.6000","23.5500","7.5500","24.3000","TopLayer","270","MCP1810T"
"U3","SOT95P280X145-5N","33.4000","24.4500","33.4000","24.4500","32.0250","25.4000","TopLayer","0","24AA02E48T-I/OT"
"U2","Lora_Module_ES0","16.1610","13.8725","16.5000","13.9000","10.2600","18.2750","TopLayer","360","CMWX1ZZABZ"
"T1","SOT23-3AL","19.7500","28.4000","19.7500","28.4000","20.7200","27.4300","TopLayer","180","2N7002ET1G"
"R12","RES0603","22.4000","28.4500","22.4000","28.4500","22.4000","27.7000","TopLayer","90","100k"
"R11","RES0603","21.8000","25.8500","21.8000","25.8500","22.5500","25.8500","TopLayer","180","100k"
"R10","RES0603","21.0500","23.4500","21.0500","23.4500","21.0500","22.7000","TopLayer","90","100R"
"R9","RES0603","24.3000","34.0000","24.3000","34.0000","23.5500","34.0000","TopLayer","360","100R"
"R8","RES0603","17.3000","28.4000","17.3000","28.4000","17.3000","27.6500","TopLayer","90","75k"
"R4","RES0603","28.7500","28.9500","28.7500","28.9500","28.7500","28.2000","TopLayer","90","10k"
"R1","RES0603","15.6500","22.2844","15.6500","22.2844","15.6500","21.5344","TopLayer","90","10k"
"P3","JST-_S2B-PH-SM4-TB(LF)(SN)-2_V","11.9000","30.1750","11.9000","30.7500","12.9000","27.3000","TopLayer","180","S2B-PH-SM4-TB(LF)(SN)"
"P2","HDR1X4","21.7800","1.5500","25.5900","1.5500","25.5900","1.5500","TopLayer","180","Header 4"
"P1","53261-1071","3.5000","17.2875","3.5000","17.2875","4.7500","11.6500","BottomLayer","90","53261-1071"
"L3","IND0402","28.3000","18.2500","28.3000","18.2500","28.3000","18.7200","TopLayer","270","4.3nH"
"J1","Selector","6.4000","8.7000","6.4000","8.7000","6.4000","10.2000","TopLayer","270","Selector"
"D1","LED0603","27.4000","34.0000","27.4000","34.0000","28.2000","34.0000","TopLayer","180","LED RED"
"C12","CAP0805","8.0500","21.1500","8.0500","21.1500","9.0000","21.1500","TopLayer","180","2.2uF"
"C11","CAP0805","12.5500","24.0500","12.5500","24.0500","13.5000","24.0500","TopLayer","180","2.2uF"
"C10","CAP0603","24.0500","28.4000","24.0500","28.4000","24.0500","27.6500","TopLayer","90","10nF"
"C8","CAP0402","26.8500","14.2000","26.8500","14.2000","26.3700","14.2000","TopLayer","360","2.2uF 6V3"
"C7","CAP0603","25.5500","18.1500","25.5500","18.1500","25.5500","18.9000","TopLayer","270","1uF"
"C6","CAP0603","6.5000","13.4500","6.5000","13.4500","6.5000","12.7000","TopLayer","90","100nF"
"C5","CAP0603","8.1000","13.4500","8.1000","13.4500","8.1000","12.7000","TopLayer","90","1uF"
"C4","CAP0603","6.5000","16.5500","6.5000","16.5500","6.5000","17.3000","TopLayer","270","10uF"
"C3","CAP0603","31.3000","28.2500","31.3000","28.2500","32.0500","28.2500","TopLayer","180","100nF"
"A1","LORA_PCB_ANTENNA","34.5000","12.7500","34.5000","12.7500","30.2000","17.8000","TopLayer","270","SR42I010-R"
